State Name,City Name,Year,Month,datetime,latitude,longitude,Road Type,Road Condition,Lighting Conditions,Weather Conditions,Traffic Control Presence,Driver Age,Driver Gender,driver_experience,Driver License Status,driver_speed_habit(km/h),Alcohol Involvement,Vehicle Type Involved,vehicle_condition,Accident Severity
Karnataka,Hassan,2020,August,17-04-2020 19:29,16.16220431,76.1612314,National Highway,Dry,Dusk,Stormy,Police Checkpost,58,Female,20 yr,Valid,112,No,Two-Wheeler,average,Serious
Delhi,North District-29,2020,March,17-01-2020 18:48,35.89308329,68.69338639,State Highway,Wet,Dark,Stormy,Police Checkpost,54,Male,29 yr,Valid,102,Yes,Two-Wheeler,medium,Minor
Tamil Nadu,Madurai,2022,May,14-10-2022 11:01,8.78195025,80.14473824,State Highway,Dry,Daylight,Rainy,Police Checkpost,41,Male,16 yr,Valid,24,Yes,Truck,bad,Minor
Sikkim,Namchi-10,2023,October,06-10-2023 06:39,27.49527579,88.50927167,State Highway,Dry,Dark,Rainy,Police Checkpost,67,Male,11 yr,Valid,116,No,Auto-Rickshaw,good,Serious
Mizoram,East Town-13,2020,May,09-10-2020 00:17,28.9418268,70.39083977,State Highway,Under Construction,Dusk,Stormy,Signals,76,Female,30 yr,Valid,81,No,Car,bad,Serious
Meghalaya,Central Port-9,2020,November,20-10-2020 13:37,31.48582758,90.69937691,National Highway,Dry,Dusk,Stormy,Signs,66,Female,23 yr,No license,30,No,Bus,poor,Serious
Haryana,Panipat,2022,August,26-07-2022 11:46,28.92393935,77.46934289,National Highway,Dry,Dark,Rainy,Signs,60,Male,27 yr,Valid,112,No,Bus,poor,Minor
Tamil Nadu,Central District-44,2021,April,23-03-2021 15:16,12.97005115,79.71095672,Village Road,Dry,Dawn,Clear,Police Checkpost,53,Female,30 yr,Expired,131,No,Bus,good,Minor
Rajasthan,Udaipur,2022,November,24-05-2022 19:32,28.60408343,75.57775351,Urban Road,Dry,Dusk,Hazy,Police Checkpost,70,Male,22 yr,Expired,84,No,Two-Wheeler,medium,Minor
Sikkim,Gangtok-21,2020,July,23-07-2020 23:34,27.50468188,88.48887446,National Highway,Wet,Dawn,Stormy,Signs,45,Female,1 months,Valid,97,Yes,Two-Wheeler,medium,Serious
Assam,Silchar-7,2019,April,28-04-2019 13:37,22.95614296,78.99444842,State Highway,Wet,Dusk,Clear,Signals,19,Female,10 yr,Valid,126,Yes,Auto-Rickshaw,medium,Minor
Punjab,West District-7,2021,October,05-11-2021 09:39,31.03098609,76.12037496,State Highway,Dry,Dawn,Rainy,Signs,68,Female,8 months,Valid,109,Yes,Bus,good,Serious
Haryana,Karnal,2022,April,17-11-2022 18:01,28.48358267,76.88747781,Urban Road,Dry,Dark,Rainy,Signals,73,Male,2 months,Valid,113,No,Two-Wheeler,poor,Minor
Maharashtra,New City-43,2022,November,27-06-2022 13:48,17.41287296,78.19005859,State Highway,Wet,Dusk,Clear,Signs,63,Male,2 months,Expired,140,No,Car,poor,Fatal
Maharashtra,Pune,2020,March,21-04-2020 14:31,17.19482777,78.13856315,Urban Road,Damaged,Dusk,Hazy,Signs,74,Male,6 months,Expired,62,Yes,Bus,average,Minor
Assam,West Port-33,2018,May,13-12-2018 09:47,14.1243913,79.49319791,Village Road,Dry,Dusk,Hazy,Signs,20,Female,17 yr,Valid,11,Yes,Two-Wheeler,good,Minor
Haryana,Faridabad,2020,April,21-06-2020 17:02,29.7062325,76.77196797,Village Road,Dry,Dusk,Hazy,Signals,76,Male,2 months,Valid,97,Yes,Two-Wheeler,average,Minor
Maharashtra,Solapur,2020,May,10-05-2020 11:14,20.95357973,75.72204197,State Highway,Dry,Dark,Clear,Signals,68,Male,24 yr,Valid,47,Yes,Two-Wheeler,average,Minor
Uttar Pradesh,North City-45,2023,May,29-01-2023 05:08,20.12478625,81.3729805,Village Road,Dry,Daylight,Stormy,Police Checkpost,46,Male,5 yr,Valid,139,No,Car,good,Fatal
Maharashtra,Nashik,2021,August,20-03-2021 16:44,19.03231104,79.39536592,Village Road,Dry,Dark,Hazy,Signals,22,Female,16 yr,Valid,30,Yes,Two-Wheeler,medium,Minor
Telangana,Hyderabad-75,2019,May,02-05-2019 23:37,22.97534369,78.99925088,National Highway,Dry,Daylight,Stormy,Signs,18,Male,8 months,No license,67,No,Car,medium,Minor
Karnataka,South Town-18,2021,December,18-03-2021 15:48,18.07021779,76.84639504,Village Road,Dry,Dark,Foggy,Police Checkpost,22,Female,11 yr,Valid,31,Yes,Car,average,Serious
Madhya Pradesh,Gwalior-10,2023,January,24-01-2023 23:47,22.99427171,79.04182365,State Highway,Under Construction,Daylight,Foggy,Signals,21,Male,9 months,Valid,98,Yes,Pedestrian,average,Serious
Karnataka,Kolar,2021,September,03-10-2021 15:25,13.29030225,76.4556796,Urban Road,Dry,Dusk,Hazy,Police Checkpost,74,Female,27 yr,Valid,58,Yes,Two-Wheeler,good,Serious
Himachal Pradesh,Shimla-2,2023,December,03-12-2023 05:36,31.11391388,77.21966427,Village Road,Under Construction,Dark,Clear,Signals,63,Male,3 yr,Valid,68,Yes,Auto-Rickshaw,poor,Minor
Punjab,Patiala-15,2018,July,21-07-2018 05:06,22.9991283,79.02867239,Urban Road,Wet,Dark,Clear,Signs,24,Female,4 months,Valid,24,Yes,Truck,medium,Minor
Haryana,Gurgaon,2023,March,22-04-2023 10:53,27.79882976,76.81362915,Urban Road,Wet,Dawn,Stormy,Signals,24,Female,8 yr,Expired,60,No,Bus,good,Minor
Andhra Pradesh,Kakinada,2020,February,26-11-2020 16:06,15.48428948,81.61980544,National Highway,Dry,Daylight,Foggy,Signs,64,Female,29 yr,Expired,117,Yes,Cycle,good,Fatal
Madhya Pradesh,New Town-5,2018,March,24-09-2018 14:52,26.16320326,82.31141157,State Highway,Damaged,Dark,Rainy,Police Checkpost,64,Female,8 yr,No license,64,No,Two-Wheeler,average,Serious
Gujarat,East Port-2,2019,April,03-04-2019 18:47,20.66837231,69.92231918,National Highway,Wet,Dusk,Foggy,Police Checkpost,55,Male,29 yr,Valid,73,Yes,Car,poor,Minor
Andhra Pradesh,Kurnool-6,2019,June,02-06-2019 19:12,23.02650895,78.95876274,Urban Road,Damaged,Daylight,Clear,Signs,67,Male,8 yr,Expired,140,Yes,Auto-Rickshaw,medium,Serious
Odisha,Berhampur-22,2020,February,03-02-2020 14:05,22.96867767,78.96436082,State Highway,Under Construction,Dawn,Clear,Police Checkpost,33,Female,5 yr,Valid,60,Yes,Cycle,poor,Minor
Telangana,Karimnagar,2022,September,04-09-2022 06:43,18.39564602,79.20264402,Urban Road,Wet,Dark,Foggy,Signals,76,Male,7 months,Valid,144,Yes,Truck,poor,Serious
Maharashtra,New District-30,2021,August,16-05-2021 10:36,20.06335944,73.4261814,State Highway,Wet,Dawn,Rainy,Police Checkpost,75,Female,20 yr,Valid,30,Yes,Two-Wheeler,poor,Fatal
Maharashtra,Nagpur,2023,August,19-10-2023 19:59,20.99686444,75.70321215,Village Road,Under Construction,Dark,Stormy,Police Checkpost,64,Male,6 months,Valid,82,Yes,Two-Wheeler,good,Minor
Tamil Nadu,Tiruchirappalli,2019,October,17-08-2019 13:16,8.75112269,77.90135834,Urban Road,Under Construction,Dawn,Foggy,Signs,79,Female,8 months,Valid,27,Yes,Two-Wheeler,poor,Minor
