State Name,City Name,Year,Month,datetime,latitude,longitude,Road Type,Road Condition,Lighting Conditions,Weather Conditions,Traffic Control Presence,Driver Age,Driver Gender,driver_experience,Driver License Status,driver_speed_habit(km/h),Alcohol Involvement,Vehicle Type Involved,vehicle_condition,Accident Severity,hour,day_of_week,is_weekend,is_rush_hour,weather_score,road_type_score,road_cond_score,age_score,license_score,alcohol_flag,experience_score,vehicle_condition_score,driver_speed_score,State Name_enc,City Name_enc,Accident Severity_enc,Vehicle Type Involved_enc,Lighting Conditions_enc,Traffic Control Presence_enc,target
Karnataka,Hassan,2020,August,2020-04-17 19:29:00,16.16220431,76.1612314,National Highway,Dry,Dusk,Stormy,Police Checkpost,58,Female,20 yr,Valid,112,No,Two-Wheeler,average,Serious,19,4,0,1,5,5,1,2,1.0,0,1,3,5,13,1446,2,6,3,0,1
Delhi,North District-29,2020,March,2020-01-17 18:48:00,35.89308329,68.69338639,State Highway,Wet,Dark,Stormy,Police Checkpost,54,Male,29 yr,Valid,102,Yes,Two-Wheeler,medium,Minor,18,4,0,1,5,4,3,2,1.0,1,1,3,5,6,2769,1,6,0,0,0
Tamil Nadu,Madurai,2022,May,2022-10-14 11:01:00,8.78195025,80.14473824,State Highway,Dry,Daylight,Rainy,Police Checkpost,41,Male,16 yr,Valid,24,Yes,Truck,bad,Minor,11,4,0,0,4,4,1,3,1.0,1,1,5,1,26,2184,1,5,2,0,0
Sikkim,Namchi-10,2023,October,2023-10-06 06:39:00,27.49527579,88.50927167,State Highway,Dry,Dark,Rainy,Police Checkpost,67,Male,11 yr,Valid,116,No,Auto-Rickshaw,good,Serious,6,4,0,0,4,4,1,1,1.0,0,1,1,5,25,2378,2,0,0,0,1
Mizoram,East Town-13,2020,May,2020-10-09 00:17:00,28.9418268,70.39083977,State Highway,Under Construction,Dusk,Stormy,Signals,76,Female,30 yr,Valid,81,No,Car,bad,Serious,0,4,0,0,5,4,5,5,1.0,0,1,5,4,19,1170,2,2,3,1,1
Meghalaya,Central Port-9,2020,November,2020-10-20 13:37:00,31.48582758,90.69937691,National Highway,Dry,Dusk,Stormy,Signs,66,Female,23 yr,No license,30,No,Bus,poor,Serious,13,1,0,0,5,5,1,1,3.0,0,1,5,1,18,669,2,1,3,2,1
Haryana,Panipat,2022,August,2022-07-26 11:46:00,28.92393935,77.46934289,National Highway,Dry,Dark,Rainy,Signs,60,Male,27 yr,Valid,112,No,Bus,poor,Minor,11,1,0,0,4,5,1,2,1.0,0,1,5,5,9,3007,1,1,0,2,0
Tamil Nadu,Central District-44,2021,April,2021-03-23 15:16:00,12.97005115,79.71095672,Village Road,Dry,Dawn,Clear,Police Checkpost,53,Female,30 yr,Expired,131,No,Bus,good,Minor,15,1,0,0,1,2,1,2,2.0,0,1,1,5,26,608,1,1,1,0,0
Rajasthan,Udaipur,2022,November,2022-05-24 19:32:00,28.60408343,75.57775351,Urban Road,Dry,Dusk,Hazy,Police Checkpost,70,Male,22 yr,Expired,84,No,Two-Wheeler,medium,Minor,19,1,0,1,2,3,1,1,2.0,0,1,3,4,24,3916,1,6,3,0,0
Sikkim,Gangtok-21,2020,July,2020-07-23 23:34:00,27.50468188,88.48887446,National Highway,Wet,Dawn,Stormy,Signs,45,Female,1 months,Valid,97,Yes,Two-Wheeler,medium,Serious,23,3,0,0,5,5,3,2,1.0,1,5,3,4,25,1274,2,6,1,2,1
Assam,Silchar-7,2019,April,2019-04-28 13:37:00,22.95614296,78.99444842,State Highway,Wet,Dusk,Clear,Signals,19,Female,10 yr,Valid,126,Yes,Auto-Rickshaw,medium,Minor,13,6,1,0,1,4,3,4,1.0,1,1,3,5,2,3536,1,0,3,1,0
Punjab,West District-7,2021,October,2021-11-05 09:39:00,31.03098609,76.12037496,State Highway,Dry,Dawn,Rainy,Signs,68,Female,8 months,Valid,109,Yes,Bus,good,Serious,9,4,0,1,4,4,1,1,1.0,1,4,1,5,23,4122,2,1,1,2,1
Haryana,Karnal,2022,April,2022-11-17 18:01:00,28.48358267,76.88747781,Urban Road,Dry,Dark,Rainy,Signals,73,Male,2 months,Valid,113,No,Two-Wheeler,poor,Minor,18,3,0,1,4,3,1,1,1.0,0,5,5,5,9,1918,1,6,0,1,0
Maharashtra,New City-43,2022,November,2022-06-27 13:48:00,17.41287296,78.19005859,State Highway,Wet,Dusk,Clear,Signs,63,Male,2 months,Expired,140,No,Car,poor,Fatal,13,0,0,0,1,4,3,2,2.0,0,5,5,5,16,2469,0,2,3,2,2
Maharashtra,Pune,2020,March,2020-04-21 14:31:00,17.19482777,78.13856315,Urban Road,Damaged,Dusk,Hazy,Signs,74,Male,6 months,Expired,62,Yes,Bus,average,Minor,14,1,0,0,2,3,4,1,2.0,1,4,3,3,16,3183,1,1,3,2,0
Assam,West Port-33,2018,May,2018-12-13 09:47:00,14.1243913,79.49319791,Village Road,Dry,Dusk,Hazy,Signs,20,Female,17 yr,Valid,11,Yes,Two-Wheeler,good,Minor,9,3,0,1,2,2,1,4,1.0,1,1,1,1,2,4151,1,6,3,2,0
